"x","y","z","latitude","longitude","cluster.size","cluster","median_distance","mean_distance"
1342.57910038777,-4634.28486900863,4154.46386308487,40.7303167507594,-73.843392172467,373021,"1",1.567,1.795
1332.59171450152,-4631.75886985643,4160.49236154424,40.8019430348848,-73.9490766679027,1860167,"2",1.106,1.094
1336.58815690945,-4639.27857331611,4150.82061993705,40.6870663959878,-73.9281720201842,308661,"3",1.499,1.663
1333.01138215337,-4629.54152410506,4162.82505301299,40.8296804577586,-73.9369888677784,666712,"4",1.327,1.449
891.961068132834,-4926.36452724513,3925.39513163697,38.098777216239,-79.7372827754689,4,"5",279.1,248.3
1333.67336080111,-4637.6064640875,4153.62602662488,40.7203664478359,-73.9559315385094,892361,"6",0.7811,0.979
1345.98821573871,-4635.51295026438,4151.98934036188,40.7009408079494,-73.8085807710611,121152,"7",0.2535,1.148
1331.51917025692,-4640.29428714454,4151.31472768148,40.6929286656204,-73.9893192091211,807119,"8",0.6878,0.704
1332.07338823035,-4641.82637535233,4149.42348555325,40.6704871445279,-73.9880123971568,389888,"9",0.9085,1.058
1333.61296122351,-4640.37195507189,4150.55567350024,40.683920768274,-73.9656904398231,759734,"10",1.037,1.024
1336.4690471357,-4626.58868029852,4164.99788682509,40.8555310005265,-73.8877363976266,238864,"11",2.837,2.658
1335.64068109636,-4634.02627168441,4156.9882951765,40.7603001224002,-73.9217135988214,812740,"12",1.011,1.158
1335.38113381021,-4642.25291471914,4147.88268443378,40.6522095556167,-73.9516960782023,145360,"13",1.423,1.584
1338.86365376298,-4634.20019071833,4155.75748409312,40.7456788469611,-73.8855010083196,808970,"14",0.9688,1.025
1335.68492274818,-4646.849764591,4142.6335525227,40.589980929235,-73.9632955116391,50445,"15",0.8515,1.749
